
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
a	A1	slovo	konjunkce				4.8.1; 5.3.22; 5.4.4; 6.1.7; 6.2.6; 6.8.1
adresa	A1	slovo	substantivum	femininum	singulár		6.1.3
adresát	A1	slovo	substantivum	maskulinum	singulár		6.8.11
advokát	A1	slovo	substantivum	maskulinum	singulár		6.11.8
advokátka	A1	slovo	substantivum	femininum	singulár		6.11.8
aerobik	A1	slovo	substantivum	maskulinum	singulár		6.5.7
ahoj	A1	slovo	interjekce				5.5.15; 5.5.24; 5.5.37; 5.6.2
ale	A1	slovo	konjunkce				4.8.4
ale ano	A1	slovo	partikule				5.2.6
alkohol	A1	slovo	substantivum	maskulinum	singulár		6.3.14; 6.9.6
angličtina	A1	slovo	substantivum	femininum	singulár		6.10.7
ano	A1	slovo	partikule				5.2.1; 5.4.9; 5.4.17; 5.4.19; 5.5.6; 5.5.9; 5.6.6
asi	A1	slovo	partikule				4.2.6; 5.2.19
asistent	A1	slovo	substantivum	maskulinum	singulár		6.6.1; 6.10.4
asistentka	A1	slovo	substantivum	femininum	singulár		6.6.1; 6.10.4
au	A1	slovo	interjekce				5.3.33
auto	A1	slovo	substantivum	neutrum	singulár		6.9.1; 6.9.5
autobus	A1	slovo	substantivum	maskulinum	singulár		6.9.1; 6.9.8
automat	A1	slovo	substantivum	maskulinum	singulár		6.9.8
autoservis	A1	slovo	substantivum	maskulinum	singulár		6.9.5
babička	A1	slovo	substantivum	femininum	singulár		6.1.13
bál	A1	slovo	substantivum	maskulinum	singulár		6.5.11
balík	A1	slovo	substantivum	maskulinum	singulár		4.2.3; 6.8.11
balon	A1	slovo	substantivum	maskulinum	singulár		6.5.9
banán	A1	slovo	substantivum	maskulinum	singulár		6.3.10
banka	A1	slovo	substantivum	femininum	singulár		6.6.3; 6.8.8; 6.8.12
bankomat	A1	slovo	substantivum	maskulinum	singulár		6.8.12
barva	A1	slovo	substantivum	femininum	singulár		4.6.8; 6.8.5
basketbal	A1	slovo	substantivum	maskulinum	singulár		6.5.7
bát se	A1	slovo	verbum			imperfektivní	5.3.30; 5.3.31
bavlna	A1	slovo	substantivum	femininum	singulár		4.6.9
bazén	A1	slovo	substantivum	maskulinum	singulár		6.2.3; 6.5.9
benzin	A1	slovo	substantivum	maskulinum	singulár		6.9.5
benzinka	A1	slovo	substantivum	femininum	singulár		6.9.5
benzinový	A1	slovo	adjektivum				6.9.5
bílý	A1	slovo	adjektivum				4.6.8; 6.3.14
blahopřát	A1	slovo	verbum			imperfektivní	5.5.25
blond	A1	slovo	adjektivum				6.1.14
blůza	A1	slovo	substantivum	femininum	singulár		6.8.3
bod	A1	slovo	substantivum	maskulinum	singulár		6.10.8
bohužel	A1	slovo	partikule				5.3.21; 5.3.27; 5.4.10; 5.5.7
bolet	A1	slovo	verbum			imperfektivní	5.3.32; 5.3.33; 6.7.2
bonbon	A1	slovo	substantivum	maskulinum	singulár		6.3.9
boty	A1	slovo	substantivum	femininum	plurál		6.6.5; 6.8.2; 6.8.3
brambory	A1	slovo	substantivum	maskulinum	plurál		6.3.8
brát	A1	slovo	verbum			imperfektivní	6.6.6; 6.7.4; 6.8.6; 6.11.4
bratr	A1	slovo	substantivum	maskulinum	singulár		6.1.13
brigáda	A1	slovo	substantivum	femininum	singulár		6.6.5
bruslit	A1	slovo	verbum			imperfektivní	6.5.7
brýle	A1	slovo	substantivum	femininum	pluralium tantum		6.1.14; 6.6.5
brzo	A1	slovo	adverbium				4.5.8
březen	A1	slovo	substantivum	maskulinum	singulár		4.5.1
břicho	A1	slovo	substantivum	neutrum	singulár		6.7.1
bunda	A1	slovo	substantivum	femininum	singulár		6.8.3
bydlet	A1	slovo	verbum			imperfektivní	6.1.3; 6.2.1
bydliště	A1	slovo	substantivum	neutrum	singulár		6.1.3
být	A1	slovo	verbum			imperfektivní	4.1.1; 4.1.3; 4.3.4; 4.4.1; 4.5.1; 4.5.12; 5.1.1; 5.2.1; 5.3.31; 5.4.2; 5.4.4; 5.4.5; 5.4.9; 5.5.1; 5.5.18; 5.6.9; 6.6.1
byt	A1	slovo	substantivum	maskulinum	singulár		6.2.1; 6.2.6
byt 3+1	A1	slovo	substantivum	maskulinum	singulár		6.2.1
CD	A1	slovo	substantivum	neutrum	singulár		6.5.5
